Post,id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
32,635054059945646_1500260050091705,805,6.35E+14,Black Panther,"ìLetís go!î See Marvel Studiosí ""Black Panther"" in theaters February 16 and get tickets now: www.fandango.com/blackpanther",2018-01-25T13:00:00+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1500260050091705/,NA,13,125,150,3,30,0,0
33,635054059945646_1504604352990608,1455,6.35E+14,Black Panther,"Weíre going LIVE from the #BlackPanther red carpet premiere in Hollywood TONIGHT at 9PM ET/6PM PT, presented by Marvel Contest of Champions! Watch here: Marvel.com/BlackPantherLive",2018-01-29T17:29:29+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1504604352990608/?type=3,NA,29,235,303,1,61,0,0
34,635054059945646_1504626332988410,4638,6.35E+14,Black Panther,"The Dolby Cinema poster for Marvel Studios' ""Black Panther"" is here! Get your tickets now: http://bit.ly/2FrFSQu #BlackPanther",2018-01-29T18:00:02+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1504626332988410/?type=3,NA,65,793,1003,5,169,1,0
35,635054059945646_1504938516290525,5406,6.35E+14,Black Panther,"""Now that we have your attention.î Get tickets to see Marvel Studios' ""Black Panther"" now: www.fandango.com/blackpanther",2018-01-30T01:45:00+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1504938516290525/,NA,309,2827,1934,8,280,1,0
36,635054059945646_1504965116287865,2317,6.35E+14,Black Panther,"Welcome to Wakanda. Weíre at the Marvel Studiosí #BlackPanther purple carpet premiere in Hollywood! Tune in to Marvel's livestream at 6PM PT/9PM ET, presented by Marvel Contest of Champions.",2018-01-30T01:55:32+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.1317456868372025.1073741829.635054059945646/1504963382954705/?type=3,Black Panther with Marvel Contest of Champions.,29,274,541,4,93,1,0
37,635054059945646_1504983869619323,2012,6.35E+14,Black Panther,NA,2018-01-30T02:11:05+0000,video,https://www.facebook.com/Marvel/videos/10155993805517488/,Black Panther shared a live video.,27,733,744,1,69,1,0
38,635054059945646_1505014296282947,10643,6.35E+14,Black Panther,The king has arrived on the purple carpet. <ed><U+00A0><U+00BD><ed><U+00B1><U+0091> #BlackPanther Chadwick Boseman,2018-01-30T02:57:15+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1505014296282947/,NA,559,4955,4982,38,494,2,3
39,635054059945646_1505080929609617,13313,6.35E+14,Black Panther,Wakanda Forever. The cast and crew shined at the Marvel Studiosí #BlackPanther purple carpet premiere! <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE><U+2728>,2018-01-30T04:23:28+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.1317456868372025.1073741829.635054059945646/1505079499609760/?type=3,NA,329,4390,5094,16,345,4,0
40,635054059945646_1506838242767219,2296,6.35E+14,Black Panther,"A king will rise. Get tickets now to see Marvel Studios' ""Black Panther"": www.fandango.com/blackpanther",2018-01-31T20:00:22+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1506838242767219/,NA,69,487,588,6,87,1,1
41,635054059945646_1507071082743935,3017,6.35E+14,Black Panther,NA,2018-02-01T02:39:58+0000,photo,https://www.facebook.com/kendricklamar/photos/a.10152444837648092.1073741825.241273033091/10156221516188092/?type=3,Black Panther shared a post.,89,506,847,2,115,0,0
42,635054059945646_1507733522677691,1439,6.35E+14,Black Panther,"Long live the king. Watch an exclusive clip from Marvel Studiosí ""Black Panther"" on Disney Movie Rewards now: http://bit.ly/2nsYmJI",2018-02-01T20:00:21+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1507733522677691/,NA,31,120,278,3,37,1,2
43,635054059945646_1508459312605112,1589,6.35E+14,Black Panther,Check out the new single ìPray For Meî by Kendrick Lamar and The Weeknd from Black Panther: The Album. Music from and inspired by the film:  http://bit.ly/2BNuRXn,2018-02-02T15:04:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1508459312605112/?type=3,NA,44,173,352,2,57,0,1
44,635054059945646_1508770032574040,2307,6.35E+14,Black Panther,"Two weeks until Marvel Studios' ""Black Panther."" Get your tickets now: www.fandango.com/blackpanther",2018-02-02T22:00:24+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1508770032574040/,NA,86,579,724,1,72,1,0
45,635054059945646_1509687939148916,8818,6.35E+14,Black Panther,"On February 16, the King arrives. Comment below if you already have your tickets! <ed><U+00A0><U+00BC><ed><U+00BE><U+009F> #BlackPanther",2018-02-03T19:05:05+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1509687939148916/,NA,930,5222,3885,17,361,6,1
46,635054059945646_1511729572278086,2078,6.35E+14,Black Panther,"All hail the king. Get tickets to see Marvel Studios' ""Black Panther"" now: www.fandango.com/blackpanther",2018-02-05T22:48:17+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1511729572278086/,NA,50,410,686,5,57,0,0
47,635054059945646_1511882998929410,4487,6.35E+14,Black Panther,"The cast of Marvel Studios' ""Black Panther"" and director Ryan Coogler are all smiles at the black carpet fan event in Seoul!",2018-02-06T03:18:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1511880235596353/?type=3,NA,64,560,1080,4,78,1,2
48,635054059945646_1512576895526687,4524,6.35E+14,Black Panther,The new IMAX poster just dropped. The King arrives to #IMAX 2/16! #BlackPanther (via Chadwick Boseman),2018-02-06T21:03:28+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1512576895526687/?type=3,NA,108,871,1111,2,157,0,1
49,635054059945646_1512758118841898,2416,6.35E+14,Black Panther,"A king will rise. Get your tickets now to see Marvel Studiosí ìBlack Panther,î in theaters February 16: www.fandango.com/blackpanther",2018-02-07T03:00:02+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1512758118841898/?type=3,NA,60,407,533,2,60,0,0
50,635054059945646_1513401242110919,2492,6.35E+14,Black Panther,"Wakanda forever. Get your tickets to Marvel Studios' ""Black Panther"" now: http://bit.ly/2Ea4GjU",2018-02-07T20:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1513401242110919/?type=3,NA,73,550,665,7,77,0,0
51,635054059945646_1513518785432498,3775,6.35E+14,Black Panther,The Black Panther lives! Check out this #BlackPantherFanArt by ArtxMan: http://bit.ly/2E9fRt2 #ad,2018-02-07T22:00:03+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1513518785432498/?type=3,NA,43,509,774,7,113,0,0
52,635054059945646_1514213495363027,1603,6.35E+14,Black Panther,10 years in the making.,2018-02-08T17:01:05+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1514213495363027/?type=3,NA,25,94,394,1,64,0,1
53,635054059945646_1514215025362874,2665,6.35E+14,Black Panther,NA,2018-02-08T17:04:11+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.635567983227587.1073741826.635054059945646/1514215025362874/?type=3,Black Panther updated their cover photo.,44,150,627,3,74,1,2
